code,name,country,exchange,currency,type,market,,
XITK,SPDR FactSet Innovative Technology ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
XLB,Materials Select Sector SPDR Fund,USA,NYSE ARCA,USD,ETF,us_etf,,
XLC,Communication Services Select Sector SPDR Fund,USA,NYSE ARCA,USD,ETF,us_etf,,
XLE,Energy Select Sector SPDR Fund,USA,NYSE ARCA,USD,ETF,us_etf,,
XLF,Financial Select Sector SPDR Fund,USA,NYSE ARCA,USD,ETF,us_etf,,
XLG,Invesco S&P 500 Top 50 ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
XLI,Industrial Select Sector SPDR Fund,USA,NYSE ARCA,USD,ETF,us_etf,,
XLK,Technology Select Sector SPDR Fund,USA,NYSE ARCA,USD,ETF,us_etf,,
XLP,Consumer Staples Select Sector SPDR Fund,USA,NYSE ARCA,USD,ETF,us_etf,,
XLRE,The Real Estate Select Sector SPDR Fund,USA,NYSE ARCA,USD,ETF,us_etf,,
XLSR,SPDR SSGA U.S. Sector Rotation ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
XLU,Utilities Select Sector SPDR Fund,USA,NYSE ARCA,USD,ETF,us_etf,,
XLV,Health Care Select Sector SPDR Fund,USA,NYSE ARCA,USD,ETF,us_etf,,
XLY,Consumer Discretionary Select Sector SPDR Fund,USA,NYSE ARCA,USD,ETF,us_etf,,
XME,SPDR S&P Metals and Mining ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
XMHQ,Invesco S&P MidCap Quality ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
XMLV,Invesco S&P MidCap Low Volatility ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
XMMO,Invesco S&P MidCap Momentum ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
XMVM,Invesco S&P MidCap Value with Momentum ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
XNTK,SPDR NYSE Technology ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
XOP,SPDR S&P Oil & Gas Exploration & Production ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
XOUT,GraniteShares XOUT U.S. Large Cap ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
XPH,SPDR S&P Pharmaceuticals ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
XPP,ProShares Ultra FTSE China 50,USA,NYSE ARCA,USD,ETF,us_etf,,
XRLV,Invesco S&P 500 ex-Rate Sensitive Low Volatility ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
XRT,SPDR S&P Retail ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
XSD,SPDR S&P Semiconductor ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
XSLV,Invesco S&P SmallCap Low Volatility ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
XSMO,Invesco S&P SmallCap Momentum ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
XSOE,WisdomTree Emerging Markets ex-State-Owned Enterprises Fund,USA,NYSE ARCA,USD,ETF,us_etf,,
XSVM,Invesco S&P SmallCap Value with Momentum ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
XSW,SPDR S&P Software & Services ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
XT,iShares Exponential Technologies ETF,USA,NASDAQ,USD,ETF,us_etf,,
XTL,SPDR S&P Telecom ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
XTN,SPDR S&P Transportation ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
XWEB,SPDR S&P Internet ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
XYLD,Global X S&P 500 Covered Call ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
XYLG,Global X S&P 500 Covered Call & Growth ETF,USA,NYSE ARCA,USD,ETF,us_etf,,
