code,name,country,exchange,currency,type,market
PHM,PulteGroup,Consumer Discretionary,NYSE,USD,Common Stock,us_500
PHMO34,Philip Morris International Inc,Brazil,SA,BRL,Preferred Stock,sa_bdr
PIBB11,It Now PIBB IBrX-50 Index Fund - PIBB11 ETF,Brazil,SA,BRL,ETF,sa_etf
PINE4,Banco Pine S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
PKG,Packaging Corporation of America,Materials,NYSE,USD,Common Stock,us_500
PKI,PerkinElmer,Health Care,NYSE,USD,Common Stock,us_500
PLAS3,Plascar Participações Industriais S.A,Brazil,SA,BRL,Common Stock,sa_stocks
PLCR11,Plural Recebiveis Imobiliarios Fundo De Investimento Imobiliario,Brazil,SA,BRL,ETF,sa_etf
PLD,Prologis,Real Estate,NYSE,USD,Common Stock,us_500
PLPL3,Plano & Plano Desenvolvimento Imobiliário S.A,Brazil,SA,BRL,Common Stock,sa_stocks
PLRI11,Polo Fundo de Investimento Imobiliario ? FII Recebiveis Imobiliarios IMO - Cotas Fund,Brazil,SA,BRL,ETF,sa_etf
PM,Philip Morris International,Consumer Staples,NYSE,USD,Common Stock,us_500
PMAM3,Paranapanema S.A,Brazil,SA,BRL,Common Stock,sa_stocks
PNC,PNC Financial Services,Financials,NYSE,USD,Common Stock,us_500
PNR,Pentair plc,Industrials,NYSE,USD,Common Stock,us_500
PNVL3,Dimed S.A. Distribuidora de Medicamentos,Brazil,SA,BRL,Common Stock,sa_stocks
PNVL4,Dimed S.A. Distribuidora de Medicamentos,Brazil,SA,BRL,Preferred Stock,sa_stocks
PNW,Pinnacle West Capital,Utilities,NYSE,USD,Common Stock,us_500
POMO3,Marcopolo S.A,Brazil,SA,BRL,Common Stock,sa_stocks
POMO4,Marcopolo S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
POOL,Pool Corporation,Consumer Discretionary,NYSE,USD,Common Stock,us_500
PORD11,Polo Fundo de Investimento Imobiliário - Recebíveis Imobiliários II - FII,Brazil,SA,BRL,ETF,sa_etf
POSI3,Positivo Tecnologia S.A,Brazil,SA,BRL,Common Stock,sa_stocks
POWE3,Focus Energia Holding Participações S.A,Brazil,SA,BRL,Common Stock,sa_stocks
PPG,PPG Industries,Materials,NYSE,USD,Common Stock,us_500
PPL,PPL Corp.,Utilities,NYSE,USD,Common Stock,us_500
PPLA11,PPLA Participations Ltd,Brazil,SA,BRL,ETF,sa_etf
PQDP11,Parque Dom Pedro Shopping Center Fund,Brazil,SA,BRL,ETF,sa_etf
PRGO,Perrigo,Health Care,NYSE,USD,Common Stock,us_500
PRIO3,Petro Rio S.A,Brazil,SA,BRL,Common Stock,sa_stocks
PRNR3,Priner Serviços Industriais S.A,Brazil,SA,BRL,Common Stock,sa_stocks
PRSN11B,Personale I Fundo Invest Imobiliario,Brazil,SA,BRL,ETF,sa_etf
PRSV11,Fundo de Investimento Imobiliário Presidente Vargas,Brazil,SA,BRL,ETF,sa_etf
PRU,Prudential Financial,Financials,NYSE,USD,Common Stock,us_500
PSA,Public Storage,Real Estate,NYSE,USD,Common Stock,us_500
